time_s,rho_Area1_per_s,rho_Area2_per_s,rho_Area3_per_s,rho_Area4_per_s,rho_Area5_per_s,omega_Area1_rad_per_s,omega_Area2_rad_per_s,omega_Area3_rad_per_s,omega_Area4_rad_per_s,omega_Area5_rad_per_s,df_Area1_Hz,df_Area2_Hz,df_Area3_Hz,df_Area4_Hz,df_Area5_Hz
0.8,0.012328144149762,0.000814650386541143,0.00569677637224354,0.000317593449204913,0.000814498309121141,0.0165482957576291,0.0115422489497929,0.00371863863452896,0.0176424008175233,-0.0531003998763573,0.00263374306957331,0.00183700597475678,0.000591839720257781,0.00280787529811732,-0.00845119112047854
0.81,0.0126026780713502,0.000804245851599342,0.00567636535593948,0.000325110760287648,0.000883777649310523,0.0184822575601688,0.0113236800760131,0.00384628251386425,0.0177852272081997,-0.0530370792802289,0.00294154265019841,0.00180221965808869,0.000612154874609416,0.00283060682419745,-0.00844111333460518
0.82,0.0128614490973883,0.00078960612041666,0.00564444428342001,0.000331506028912386,0.000954842729196102,0.0204066121614139,0.0110922971141,0.00395729626370217,0.0179310932554453,-0.0529608836049893,0.00324781319724821,0.00176539391595298,0.000629823261647289,0.00285382212664587,-0.00842898641624856
0.83,0.0133402478234167,0.000759552660052645,0.0055792604773605,0.000343424411999679,0.00108932820062562,0.0240360745662164,0.0106520624518718,0.00416094890093767,0.0182062726417445,-0.0528121427116555,0.00382546007973872,0.00169532839333897,0.000662235585537019,0.00289761828621238,-0.00840531356783458
0.84,0.0138080084378411,0.000717062603985357,0.00548124998250565,0.000353239868431102,0.00124190028584261,0.0278154906886217,0.0101524819185873,0.0043397420933025,0.0185063923032009,-0.0526218729834344,0.00442697283762072,0.00161581768199426,0.000690691405893062,0.00294538381385223,-0.00837503120006744
0.85,0.0141876357704273,0.000661041130761753,0.00534784553552538,0.000358455682152279,0.00139388529769264,0.0312909956123967,0.0096386206909903,0.00445725688272946,0.0187983865268252,-0.0523974093665702,0.00498011662597975,0.00153403412755893,0.000709394465516766,0.00299185613789632,-0.00833930670589922
0.86,0.0144791838588746,0.000591518170878929,0.00518010997638138,0.000359540700568166,0.00154308178882573,0.0344791844537055,0.00911333449075625,0.00451998854262989,0.0190815962736926,-0.0521395315617995,0.00548753263958446,0.00145043223225372,0.00071937851927828,0.00303693036904207,-0.00829826417855628
0.87,0.0146823964451311,0.000509736127111633,0.0049787267983775,0.000356371337684328,0.0016904942344454,0.0373428194670267,0.00857739387386584,0.00453574719243377,0.0193553886351184,-0.0518490441570117,0.00594329430716556,0.00136513463387189,0.000721886586291021,0.00308050577674379,-0.00825203167217836
0.88,0.0147989429044896,0.000415385279003179,0.00474570837061731,0.00034899975432717,0.00183318276990458,0.0398799455654768,0.00803097594001741,0.00451053726443729,0.0196192026373788,-0.0515267798590351,0.00634709046698134,0.00127816951870585,0.000717874301635391,0.00312249307926038,-0.00820074171617335
0.89,0.0148307311535363,0.000313491671215172,0.00448185718218939,0.000337406775525324,0.00197114704101129,0.0420730601777266,0.00748184949174134,0.00445395957234753,0.0198725029988466,-0.0511735591639665,0.00669613549828796,0.00119077333008022,0.000708869682270574,0.00316280708387495,-0.00814452489655082
0.9,0.0147804167281243,0.000206330673761504,0.00419122264092842,0.000321747797757813,0.00210437678630773,0.0439198408299821,0.00693327781242184,0.00436754640824954,0.0201148241275389,-0.0507902169722969,0.0069900597679009,0.0011034654356763,0.000695116600056167,0.00320137368932194,-0.00808351409185093
0.91,0.0146508555285585,9.43180550478801e-05,0.00387260698486489,0.000302322323440633,0.00223182740944493,0.0454118671460099,0.0063801945412925,0.00426902896924562,0.020345727178435,-0.050377538992424,0.00722752313131991,0.00101543949913463,0.000679437062657939,0.00323812305124704,-0.00801783435144898
0.92,0.0144457877081923,-1.82017349972487e-05,0.0035217967356608,0.000278525061814601,0.00235317726260301,0.0465500102737038,0.00582693700687761,0.00418990220441433,0.0205648384698087,-0.0499363191290689,0.00740866423603848,0.000927385827729665,0.000666843646904169,0.00327299569635642,-0.00794761202920569
0.93,0.0141686668973081,-0.000128304648757345,0.003157518021934,0.000251523144066371,0.00246782620493025,0.0473325305830121,0.00528347496267171,0.00408010990549938,0.0207718153536374,-0.0494672674988197,0.00753320621133469,0.00084089115701147,0.000649369659818433,0.00330593709052351,-0.00787296014368621
0.94,0.0138237458264756,-0.000236335772979763,0.00277978470154342,0.000221815503629711,0.00257544299922459,0.0477644785729243,0.00473975018100388,0.00396433286492985,0.0209663750102834,-0.0489711008570232,0.00760195286908782,0.000754354670327473,0.000630943171515241,0.00333690222160499,-0.007793992770047
0.95,0.0134154888197032,-0.000339191924302807,0.00237883208471842,0.000187712073625817,0.00267564324828785,0.0478497897415216,0.00420541679873981,0.00387567563128593,0.0211482729815729,-0.0484484243172777,0.00761553056327102,0.000669312871281136,0.000616832934539957,0.00336585218287411,-0.00771080621510833
0.96,0.0132132069882567,-0.000412500625692205,0.0020450785796145,0.000158074975651311,0.0028448205900799,0.0478149207672585,0.00370359756108824,0.0038553556003215,0.0211824822893851,-0.0475123986472479,0.00760998099365651,0.000589445859070281,0.000613598901168189,0.00337129676331216,-0.00756183310286218
0.97,0.0126596092632319,-0.000504873309561437,0.00160506541186539,7.91307668634726e-05,0.00290897402764036,0.0472346954828768,0.0031987380424664,0.00377698703126854,0.0213385339648762,-0.0469384103644927,0.00751763527154026,0.000509094971114621,0.000601126156020371,0.00339613315884435,-0.00747048003038486
0.98,0.0116982324223213,-0.00122720838481914,0.00109155900459515,-4.66416675206464e-05,0.00290178626914128,0.0461187728492824,0.00172143314460014,0.00369234099359095,0.0216167837992058,-0.046725001181215,0.00734003066829558,0.000273974594165338,0.00058765432071084,0.00344041799539241,-0.00743651490396502
0.99,0.01087627531386,-0.00310862546689332,0.000629108734213335,-0.00033842218245187,0.00298480865457751,0.0449212636230378,-0.00243568235050007,0.00371981080040795,0.0217466718655473,-0.0461021387141271,0.00714944115554061,-0.000387650885883772,0.000592026276251545,0.0034610903231993,-0.00733738326346156
1,0.00982774065191992,-0.00763023281722194,8.47353293680828e-05,-0.00105412129987081,0.00304581459794014,0.0434081648502844,-0.010289205477333,0.00377634199881999,0.0218626340276225,-0.045455097336319,0.00690862400647063,-0.00163757791220576,0.00060102349591773,0.0034795462745052,-0.00723440342979842
1.01,0.0081185298774141,-0.0168011759595292,-0.000603547685402904,-0.0023303249883897,0.003019175891522,0.0413422953107134,-0.0218157316405123,0.00381748016654159,0.0220995825486849,-0.045172566600012,0.00657983065746492,-0.0034720815277538,0.000607570838660365,0.00351725780289058,-0.00718943726653976
1.02,0.00624277319061967,-0.0319412216790562,-0.00127126466887725,-0.00422898970426052,0.00308503042570654,0.0390931282320463,-0.0369895227202634,0.00394659955465916,0.022187940925907,-0.0444810690473901,0.00622186459905549,-0.00588706538353989,0.000628120827528278,0.00353132047538907,-0.00707938201290403
